busstop_name,latitude,longitude,gu_name,dong_name,full_name
종로2가사거리,126.9877861534,37.5697641508,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
창경궁.서울대학교병원,126.9965201597,37.5791788583,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
명륜3가.성대입구,126.9982901625,37.5827088189,종로구,혜화동,서울특별시 종로구 혜화동
종로2가.삼일교,126.9875072018,37.5685822333,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
혜화동로터리.여운형활동터,127.0016943494,37.5862299819,종로구,혜화동,서울특별시 종로구 혜화동
서대문역사거리,126.966960795,37.5662075233,종로구,교남동,서울특별시 종로구 교남동
서울역사박물관.경희궁앞,126.9704199006,37.569098089,종로구,사직동,서울특별시 종로구 사직동
서울역사박물관.경희궁앞,126.970441967,37.5693360157,종로구,사직동,서울특별시 종로구 사직동
광화문,126.9752405641,37.5700507533,종로구,사직동,서울특별시 종로구 사직동
광화문,126.9780908549,37.5702957096,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로1가,126.9810669062,37.5700724512,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로1가,126.9813905902,37.5702666069,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로2가,126.985541114,37.570087252,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로2가,126.9862540445,37.5702679499,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로3가.탑골공원,126.9895689652,37.5701875394,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로3가.탑골공원,126.9899682503,37.5703886931,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로4가.종묘,126.9947286676,37.5704168801,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
종로4가.종묘,126.9952769536,37.5706002885,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
